label,text,sample_id
Управление по проектным работам,"[ORGANIZATION] АКЦИОНЕРНОЕ ОБЩЕСТВО Но [DOCUMENT_NUMBER]-[DOCUMENT_NUMBER]-[DATE_TIME] На [DOCUMENT_NUMBER] - О заключении ИЗМ. No2 к НЗ No[DOCUMENT_NUMBER] от [DATE_TIME] г. к договору No [DOCUMENT_NUMBER] от [DATE_TIME]. Начальнику управления по проектно-изыскательским работам и взаимодействию с надзорными органами [ORGANIZATION] [PERSON] [CONTACT] Уважаемый [PERSON]! [ORGANIZATION] выражает согласие на заключение изменения No2 к нерад-заказу No[DOCUMENT_NUMBER] от [DATE_TIME] г. к договору (помощи) No [DOCUMENT_NUMBER] от [DATE_TIME] на выполнение проектно-изыскательских работ по объекту [OBJECT] Участок [NUMBER], на условиях, согласно приложению к данному письму. [ATTACHMENTS] [SEP] «ORGANIZATION» согласился заключить изменение No2 к нерад-заказу на выполнение проектно-изыскательских работ по Участоку [NUMBER] на объекте «OBJECT] Участок [NUMБER] и о заключении ИЗМ. No3 к НЗ No[DOCUMENT_NUMBER] от «DATE_TIME] в связи с этим.",0
Блок директора по строительству,"[ORGANIZATION] улица [LOCATION], дом [NUMBER], [LOCATION], тел.: [CONTACT], E-mail: [CONTACT], www: [WEBSITE], [ID], [DOCUMENT_NUMBER] Исх. No [NUMBER] от [DATE_TIME] На No [NUMBER] от _ [DATE_TIME] Руководителям организаций и индивидуальному предпринимателям - членам [ORGANIZATION] (по списку рассылки на E-mail) Уважаемый руководитель! Правлением [ORGANIZATION] (протокол заседания от [DATE_TIME] No [NUMBER]) в соответствии с Уставом [ORGANIZATION], Регламентом подготовки и проведения Общего собрания членов [ORGANIZATION], принято решение о проведении Годового Общего собрания членов Саморегулируемой организации [ORGANIZATION], которое состоится [DATE_TIME] по адресу: [LOCATION], [OBJECT], [ROOM]. Регистрация участников Собрания: [DATE_TIME] с [TIME] ч. до [TIME] ч. по адресу: [LOCATION], [OBJECT], [ROOM]. Начало работы Годового Общего собрания в [TIME]. В соответствии с п. 7.1.7. Устава [ORGANIZATION] члены [ORGANIZATION] обязаны присутствовать на Общих собраниях [ORGANIZATION]. Ждем личного участия в Годовом Общем собрании руководителей юридических лиц и индивидуальных предпринимателей – членов [ORGANIZATION], либо их представителей по доверенности. Доверенность на представителя просим заблаговременно направить в адрес [ORGANIZATION] по электронной почте (E-mail: [CONTACT]), оригинал направить почтой, либо предъявить при регистрации. Проект повестки дня Годового Общего собрания размещен на официальном сайте [ORGANIZATION]: [WEBSITE]. Контактные телефоны [ORGANIZATION]: [CONTACT]. [ATTACHMENTS] [SEP] Руководителям организаций и индивидуальных предпринимателей – членам Саморегулируемой организации «ORGANIZATION» предлагается провести Годовое Общее собрание членов Саморегулируемых организаций, которое пройдет в ближайшее воскресенье.",1
Блок бизнес-директора,"[ORGANIZATION] ИНН / КПП: [ID] / [ID] ОГРН [DOCUMENT_NUMBER], [DATE_TIME] Юр./ факт. адрес: [LOCATION] тел.: [CONTACT] e-mail: [CONTACT] [ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] Кому: [PERSON] О заключении Наряд-заказов Уважаемый [PERSON]! [ORGANIZATION] высоко ценит сотрудничество с [ORGANIZATION] (далее - Заказчик) и прилагает все усилия к тому, чтобы качественно и в срок выполнить все принятые на себя обязательства в рамках Договора No[DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по сбору и передаче данных, формирование отчетности, архивированию, визуализации (далее - Договор). В ответ на Ваше письмо от [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] выражает свое согласие на заключение Наряд-заказа No [NUMBER] и Наряд-заказа No [NUMBER] в рамках Договора по реализации нефтегазовых проектов по направлению Бурение, ТКРС без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора. С уважением, Коммерческий директор [ORGANIZATION] [PERSON] Исп. Руководитель проектов [PERSON] Тел. [CONTACT] [SEP] «ORGANIZATION] согласился заключить Наряд-заказ в рамках Договора по реализации нефтегазовых проектов по направлению Бурение, ТКРС без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора.",2
Блок технического директора,"[ORGANIZATION] Общество с ограниченной ответственностью [ORGANIZATION] Энергосистемы (ООО [ORGANIZATION] Энергосистемы) Юридический адрес: [LOCATION] Адрес для корреспонденции: [LOCATION] тел.: [CONTACT] e-mail: [CONTACT] ОГРН [ID], ИНН [ID] [DATE_TIME] No TH/[DOCUMENT_NUMBER] на No от О приостановке работ на [OBJECT] Уважаемый [PERSON]! Доброжелательно до вашего сведения, что [DATE_TIME] и [DATE_TIME] инспектором ПС-4 [ORGANIZATION] Чаяндинского [OBJECT] составлены акты приостановки работ на основании методического документа [ORGANIZATION] Заполярье М-[DATE_TIME] версия 1.0 от [DATE_TIME], в связи с использованием обогревателей игольчатого типа в вагон домах [ORGANIZATION] Энергосистемы. По факту доведения информации [DATE_TIME] в наш адрес о разработанном документе М-[DATE_TIME], собрана потребность и заявлены в закуп обогреватели с нагревательным элементом закрытого типа. Согласно предоставленной информации с отдела обеспечения производства, срок проведения закупки и поставки обогревателей [DATE_TIME]. Поставка обогревателей производится до базиса поставки в [LOCATION]. На основании вышеизложенного, прошу Вас дать указание соответствующим службам о необходимости снятия замечаний по актам приостановки работ, а также не планировать проверки в части обогревателей в наших вагон городках до момента поставки обогревателей с нагревательным элементом закрытого типа на месторождение. [ATTACHMENTS] [SEP] АО «ORGANIZATION Энергосистемы» приостановило работу по закупке обогревателей игольчатого типа на месторождение Чаяндинского «OBJECT» в связи с использованием обогревателя закрытого закрытого типов в наших домах.",3
Блок технического директора,"[ORGANIZATION] [ID] [LOCATION] Исх No [DOCUMENT_NUMBER] от [DATE_TIME] [ORGANIZATION] [PERSON] о заключении дополнительного соглашения Уважаемый [PERSON]! В ответ на письмо от [DATE_TIME] No [DOCUMENT_NUMBER] о заключении дополнительного соглашения, в связи с внесением изменений в производственную программу, а именно, приведение к фактически выполненному объему [DATE_TIME] года, перевод негарантированного объема [DATE_TIME] года в гарантированный и негарантированный объем [DATE_TIME] года, перевод части негарантированного объема [DATE_TIME] года в гарантированный объем [DATE_TIME] года с перераспределением между видами техники с уменьшением общей стоимости договора на [FINANCIAL_DATA], с уменьшением общего объема на [FINANCIAL_DATA] маш/час, без изменения срока оказания услуг и срока действия Договора, выражаем свое согласие на заключение дополнительного соглашения No [DOCUMENT_NUMBER] к договору No [DOCUMENT_NUMBER] от [DATE_TIME]. Генеральный директор [PERSON] Тел. [CONTACT] [PERSON] [SEP] «PERSON» согласился заключить дополнительное соглашение к производственной программе, в связи с внесением изменений в производственную программу, а также внесение изменений к производственным программам. Генеральный директор [PERСON] Tel. [CONTACT] [ПERSОN] Тел. «CONТАCT] «PerSoN» Тел. [CoNTAFT] Генерального директора [PERSOН] Тел: [COНTACT_PERRSSORGA",4
Блок заместителя генерального директора по безопасности,"[ORGANIZATION] Общество с ограниченной ответственностью [ORGANIZATION] ([ORGANIZATION]) [LOCATION] Начальнику управления промышленной безопасности, пожарной безопасности, ГО и ЧС [ORGANIZATION] Д.В. [PERSON] [CONTACT] [LOCATION], [COUNTRY] [CONTACT] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[DOMAIN] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от О корректировке плана ТСУ Уважаемый [PERSON]! Направляем Вам проект Плана проведения тактико-специальных учений (далее - ТСУ) по взаимодействию сил и средств корпоративной системы гражданской защиты [ORGANIZATION] с внесенными изменениями. [ATTACHMENTS] [SEP] Организация с ограниченной ответственностью «ORGANIZATION] корректировала план проведения тактико-специальных учений по взаимодействию сил и средств корпоративной системы гражданской защиты (далее - ТСУ) по Взаимодействию средств корпорации гражданскойзащиты.",5
"Проект ""Южный""","Почтовый. Special device for the new rest of convince of the Building Project - Special device for the world com В ответ на ваш запрос мы высылаем Вам ТКП с параметрами: внутренний диаметр условный внутренний диаметр ( 15). рабочая температура ( 16 кг/мм рабочий цикл. и ПН_ температура от С до С. Таблица No1: Стоимость комплекта и условия доставки до объекта заказчика в г. Санкт-Петербург Таблица No1 - ""I - II "" с НДС. ""Условный внутренний диаметр 2. ""Сумма, pyb 3. условный внутренний диаметр и атм 27 и атм). До - 27 С. температура в течение С. влажность и температура, в соответствии с температурным режимом. Стоимость комплекта на условиях доставки на объект заказчика в г. Санкт-Петербург Счетная палата No2 - I / II - Сумма. / PC c НДС. (КПП / / I НАО); К /cy. Почтовый Сроки производства готовой продукции составят до 50 рабочих дней после размещения заказа в цеху ( Сдача первой партии продукции проводится через дневный срок после размещения заказа на сайте. Ориентировочная дата доставки - до г. составляет 3 недели. Сроки строительства СМР по данному объему трубопроводов составят 54 дня. Стоимость строительства и обустройства объекта рассчитывается отдельно по объекту строительства и его оборудованию. Гарантийный срок: до 55 лет с момента поставки продукции в серийное производство. - это полимеры, устойчивые к солнечному излучению. Срок действия предложения ""ПН "" составляет 7 дней. - с установленными трубами, которые устанавливаются на металлических барабанах, длина которых составляет 50 метров. - с установленными трубами. - с установленными трубами. - с установленными трубами 60 - с установленными трубами. Готовы предоставить информацию и ответить по существу на возникшие проблемы. / ОКП / ОКП / ОКП / ОКП / ОКП / ОКП / ОКП / ОКП / ОКП / ОКП / ОКП / ОКП. и (ПАО ПИК; "" К/св. - [SEP] В Санкт-петербурге проходит продажа комплекта готовой продукции, которая должна быть доставлена на объект заказчика в ближайшее воскресенье. Стоимость комплекта составит около 2 млн рублей.",6
Блок технического директора,"[ORGANIZATION] [LOCATION] тел./факс [CONTACT] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН/КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] [PERSON] О допуске персонала Уважаемый [PERSON]! В рамках капитального строительства [OBJECT]-[OBJECT]-[OBJECT], планируется выполнение ЭМР по прокладке оптического кабеля от портала [PORTAL] по ограждению и заводке оптической линии в шкаф [OBJECT] [OBJECT]. Для оформления разрешительной документации на выполнение работ на рабочем месте электротехнического персонала [ORGANIZATION]. Прошу допустить бригаду на объект в составе [NUMBER] человек с [DATE_TIME] по [DATE_TIME] в качестве персонала строительного-монтажной организации, согласно плану [NUMBER] рабочих мест по охране труда при эксплуатации электроустановок, быть ответственным руководителем техническими работами. Все работы прошли медицинский осмотр, проверку знаний норм и правил по охране труда, инструкций по охране труда, промышленной и пожарной безопасности, в объеме занимаемой должности. [ATTACHMENTS] [SEP] В рамках капитального строительства электроустановок планируется построить ЭМР по прокладке оптического кабеля в шкаф «ORGANIZATION» для выполнения ЭМР на рабочем месте электротехнического персонала строительной-монтажной организации. Работы прошли медицинский осмотр, проверку знаний норм и правил по охране труда, промышленной и пожарной безопасности.",7
Блок директора по мощностям,"[ORGANIZATION] свидетельствует [PERSON] о своем пожелании и благодарит за возможность выполнения работ по Договору No [DOCUMENT_NUMBER] на объектах [ORGANIZATION]. В ответ на ваше письмо рег. No [DOCUMENT_NUMBER] сообщаем, что в ходе технического расследования инцидента рег. No [DOCUMENT_NUMBER] заключением комиссии зафиксирован вывод: В связи с техническими трудностями проведения экспертизы пакера [OBJECT] (извлечь из скважины пакер для экспертизы невозможно), исключить брак пакера не представляется возможным. Все участвующие стороны согласились с выводом, что вероятной причиной инцидента послужил брак пакера [OBJECT]. При этом, производителем было предложено провести дополнительную проверку производства пакеров данного типа, в ходе которой он обозначил свои сомнения в правильности сделанных выводов о причинах инцидента. Отдельно производителем было отмечено, что ввиду отсутствия технической возможности опрессовки соединения No 1, 5 ( [ATTACHMENTS] [SEP] Производители пакеров данного типа не смогли извлечь из скважины пакер «OBJECT] из-за технических трудностей проведения экспертизы, исключить брак пакера не представляется возможным.",8
Блок заместителя генерального директора по организационным вопросам,"Офисно-общественный комплекс [OBJECT], [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] E-mail: [CONTACT] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] г. Заместителю генерального директора по организационным вопросам [ORGANIZATION] [PERSON] О направлении отчета по устранению замечаний на ВЖП и КП 6И Между [ORGANIZATION] (далее - Заказчик) и [ORGANIZATION] (далее- Исполнитель) заключен Договор No [DOCUMENT_NUMBER] от [DATE_TIME] г. (далее-Договор). В ответ на Ваше письмо No [DOCUMENT_NUMBER] от [DATE_TIME] г. О результатах повторной выездной проверки направляем Вам отчет об устранении выявленных замечаний по результатам проверки столовых на объектах ВЖП Вакунайского ЛУ и КП No 6И Игнялинского ЛУ Чонской группы месторождений. Выражаем признательность за конструктивную обратную связь и внимание к качеству нашей работы. На основании полученных от Вас рекомендаций нами проведены необходимые корректирующие мероприятия. Полученная информация позволит нам усовершенствовать систему контроля и предотвратить возможные нарушения в будущем. [ATTACHMENTS] [SEP] Заказчик ВЖП Вакунайского ЛУ и КП 6И Игнялинского ЛУ Чонской группы месторождений Чонская группа месторождения направил Вам отчет по устранению выявленных замечаний по результатам повторной выездной проверки столовых на ВЖP Вакунайском ЛУ.",9
