text,label
"ФЕДЕРАЛЬНАЯ СЛУЖБА ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ (РОСТЕХНАДЗОР) ЕНИСЕЙСКОЕ УПРАВЛЕНИЕ ЗАМЕСТИТЕЛЬ РУКОВОДИТЕЛЯ Юр. адрес: пр. Мира, д. 36, Красноярск, 660049 Телефон: (391)227-53-38, Факс: (391)227-33-97 E-mail: krsk@enis.gosnadzor.gov.ru http://enis.gosnadzor.ru/ Факт. адрес: ул. Дзержинского д.1, а/я 149, Иркутск, 664003 Телефон: (3952)20-22-53, Факс: (3952)24-36-39 E-mail: irk@enis.gosnadzor.gov.ru ОКПО 97614223, ОГРН 1062466153342 ИНН/КПП 2466144107/246601001 30.04.2025 № 362-2705 На № 01/2/005784 от 24.04.2025 [Уведомление о дате рассмотрения ПРГР] Руководителю (законному представителю) ООО ""Газпромнефть-Заполярье"" Таёжная ул., 30А г. Новый Уренгой, 629305 gpn-zapolar@yamal.gazprom-neft.ru Енисейское управление Ростехнадзора на Ваше заявление (вх. № 362/7057 от 29.04.2025) уведомляет, что 21 мая 2025 г. в 10:00 состоится рассмотрение планов развития горных работ на 2025 год по участку недр: Северный участок Береинского месторождения песчаных пород. Рассмотрение Планов развития горных работ будет проводиться по месту нахождения Иркутского территориального отдела по надзору за объектами нефтегазодобычи, горной, угольной и металлургической промышленности Енисейского управления Ростехнадзора по адресу: г. Иркутск, ул. Дзержинского, д. 1, каб. № 808. С.В. Руденко С.Ю. Красноштанов 8 (3952) 24-37-59",Управление маркшейдерско-землеустроительных работ
"Администрация муниципального района «Мирнинский район» Республики Саха (Якутия) Саха Ореспүүбүлүкэтин «Мииринэй оройуна» муниципальнай оройуон Дьаалтата ул. Ленина, д.19, г. Мирный, 678174, тел. (41136) 4-96-02, факс (41136) 4-96-04 эл.почта: odik@adm-mirny.ru, сайт: www.алмазный-край.рф №2980от «24» 04 2025 г. На № от 2025 г. Руководителям организаций Мирнинского района О направлении Решения МВК по охране труда РС (Я) 4-MBK от 17.04.2025 Уважаемые руководители! Направляем Вам для руководства в работе Решение Межведомственной комиссии по охране труда РС (Я) 4-MBK от 17.04.2025г. «О профилактике производственного травматизма при дорожно-транспортных происшествиях». В соответствии с п.4 вышеуказанного решения руководителям даны рекомендации для дальнейшего исполнения. [ATTACHMENTS]",Генеральный директор
"ГАЗПРОМ БУРЕНИЕ Общество с ограниченной ответственностью «Газпром бурение» (ООО «Газпром бурение») ул. Наметкина, д. 12а, г. Москва, Российская Федерация, 117420 тел.: +7(499) 580-35-80, факс: +7(499) 580-36-01 e-mail: info@burgaz.ru, www.burgaz.ru ОКПО 00156251, ОГРН 1028900620319, ИНН 5003026493 Директору по вводу новых мощностей ООО «Газпромнефть-Заполярье» Наговицыну В.М. О согласии на заключение Наряд-заказа №1 к Договору от 15.10.2021г. №ГНЗ-21/10204/00843/P Уважаемый Владимир Михайлович! ООО «Газпром бурение» выражает свое согласие на заключение Наряд-Заказа № 1 к Договору от 15.10.2021г. №ГНЗ-21/10204/00843/P на предмет: перевод из негарантированного объема в гарантированный 6 скважин на сумму 1 363 962 048, 93 руб. без НДС для выполнения работ на кустовых площадках Игнялинского ЛУ, Тымпучиканского ЛУ без изменения срока выполнения работ, общего объема и общей стоимости работ по договору. Руководитель Департамента продаж И.А. Панкова О.Н. Кирilloв Тел. +7 (499) 580-34-00 (33820) e-mail: O.Kirillov@burgaz.ru 24.04.2025 № 1395/25-АУП ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат 4d9733c72bac9f53c2c1a836bb928acaad476616 Владелец Панкова Ирина Александровна Действителен с 08.04.2025 по 08.04.2026",Блок директора по вводу новых мощностей
"Кастор Перевозка нефтепродуктов Краснопресненская наб., д.12, эт/пом/ком 12/ПАЖ/61-78 г. Москва, 123610 Тел./факс: +7 (495) 268-07-37, +7 (800) 775-63-37 e-mail: info@kastor-group.ru http://www.Kastor-pl.ru 28.05.2025 №377/1-05.25 На № 16/006655 от 19.05.2025 О сроках запуска комплекса Уважаемый Алексей Александрович! В ответ на Ваше письмо № 16/006655 от 19.05.2025 сообщаю, что при реализации проекта мы столкнулись с изменением ряда ключевых условий, которые привели к изменению плановых сроков ввода в эксплуатацию полного комплекса объектов инфраструктуры, необходимых для обеспечения полезного использования ПНГ (далее - «Проект»), включая следующие: - В соответствии с п. 2.4 Договора № ГНЗ-24/01000/00050/Д от 19.01.2024 (далее - «Договор») Поставщик был обязан предоставить в субаренду Покупателю земельные участки, подходящие для размещения объектов, входящих в периметр Проекта. Однако, по результатам проведенного проектной организацией обследования, размещение объектов Проекта на предоставленных Поставщиком земельных участках оказалось невозможным из-за близости МУПН ООО «Газпромнефть Заполярье» (наличие соответствующих нормативных ограничений). Соответственно, мы были вынуждены искать новые земельные участки и выполнять полный комплекс землеустроительных работ, необходимых для возможности размещения и строительства объектов Проекта. - Решение о реализации Проекта принималось с учетом планов ООО «Газпромнефть Заполярье» (далее - «ГПНЗ») по бурению. При совместных обсуждениях с командой ГПНЗ профиля поставок ПНГ мы исходили из объемов переработки ПНГ не менее 50 млн.м3/год (в соответствии с п. 3.4 Договора объем поставки ПНГ мог быть даже увеличен до 80 млн.м3/год). Уже в ходе реализации проекта мы столкнулись с изменением планов ГПНЗ по бурению и уменьшению реальных объемов поставки ПНГ до объемов, не превышающих гарантированные объемы поставки газа в Договоре (от не более 31,2 млн.м3/год в 2026 до 17,3 млн.м3/год в 2029). При таких объемах поставки ПНГ реализовать Проект на базе спроектированного комплекса переработки газа и выбранного оборудования оказалось невозможным. Нам пришлось искать новые технические решения для возможности реализовать Проект хотя бы с минимальным уровнем рентабельности. К настоящему моменту мы нашли необходимые технические решения, выполняем перепроектирование и приступаем к закупке оборудования. Для того, чтобы максимально ускорить сроки начала приема газа, мы разбили Проект на три этапа, с запуском на первом этапе только необходимой для начала приема ПНГ инфраструктуры. Подтверждаем свою заинтересованность и готовность завершить Проект и предлагаем провести встречу для обсуждения актуализированной дорожной карты реализации Проекта и дополнительного соглашения, отражающего вышеизложенное. С уважением, Титаренко Ю.В.",Блок директора по газу
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «СУРГУТНЕФТЕГАЗ» ул.Григория Кукуевицкого, 1, корпус 1, г.Сургут, Ханты-Мансийский автономный округ – Югра, Тюменская область, Российская Федерация, 628415 Тел.: (3462) 42-61-33, 42-60-28 Факс: (3462) 42-64-94, 42-64-95 «22» апреля 2025 г. № 01-47-09-275 Исполнительному директору Проекта «Чона нефть» ООО «Газпромнефть-Заполярье» А.И.Мухамедьянову На №11/1/003850 от 17.03.2025 Уважаемый Альберт Иделевич! ПАО «Сургутнефтегаз» (далее – Общество), рассмотрев предложенный вариант предварительного продольного профиля трассы проектируемого нефтепровода от УПН Игнялинского лицензионного участка до ПСП НПС-10 Восточно-Алинского лицензионного участка (далее – Объект) в местах пересечений и в охранных зонах коммуникаций Общества, отказывает в его согласовании и направляет на рассмотрение замечания и предложения НГДУ «Талаканнефть» ( [ATTACHMENTS]","Проект ""Чона нефть"""
"Публичное акционерное общество «Подзембургаз» (ПАО «Подзембургаз») Буровая ул., д.20, г. Щелково, Московская обн., 141101, Тел.: +7(495) 745-01-61, E-mail: reception@podzemburgaz.ru, www.podzemburgaz.ru ОКПО 00156179, ОГРН 1025006519757, ИНН 7719091049 Начальнику управления ОВР ООО «Газпромнефть - Заполярье» Е.Н. Козлову От 29.04.2025 № ПБТ-УСД-0638/625 О предоставлении специализированной техники Уважаемый Евгений Николаевич! В связи с острым дефицитом перевозящей и специализированной техники, а также во избежание срыва сроков запуска в работу бригады КРС на Уренгойской группе месторождений, ПАО «Подзембургаз» выражает принципиальное согласие с направленными ранее тарифными ставками ООО «Газпромнефть - Снабжение» и просит рассмотреть возможность предоставления следующих единиц специализированной техники: | № | Тип спец. техники | Кол-во,ед. | Тариф, Руб. в час, без НДС | Режим работы | Период | |---|------------------|------------|----------------------------|---------------|---------| | 1 | Седельный тягач с полуприцепом (Трак, г/п до 40 тн.) | 1 | 7 937,75 | 11 час. | 02 - 08.05.25 | | 2 | Седельный тягач с полуприцепом (Площадка, г/п до 20 тн.) | 2 | 4 762,65 | 11 час. | 02 - 08.05.25 | Расчёт за выполненные услуги по предоставлению специализированной техники, предлагаем произвести путем удержания итоговой суммы с наработанных объемов работ по прямому Договору №ГНЗ-24-10000-01266-P от 02.12.24 г., по акту зачета взаимных требований между ООО «Газпромнефть - Заполярье» и ПАО «Подзембургаз» Кроме того, прошу согласовать допуск и работу данной специализированной техники на кустовой площадке КП-1 Песчаное НГКМ по текущим пропускам и талонам допуска. Первый заместитель Генерального директора-заместитель Генерального директора по управлению проектами A.B. Сергаев",Блок директора по вводу новых мощностей
"АКЦИОНЕРНОЕ ОБЩЕСТВО «НПО «ГЕЛИЙМАШ» 117545, г. Москва, 1-й Дорожный проезд, д. 6, стр. 6, тел.: (499) 242-50-77; ИНН/КПП 7725047231/772601001 12 мая 2025 г. № 65 / 622 Директору по газу ООО «Газпромнефть - Заполярье» Фролову А.А. г. Тюмень, ул. 50 лет Октября, д. 8 Б Телефон: +7 (3452) 53-90-27 email: gpn-zapolar@yamal.gazprom-neft.ru Об изготовлении Блоков ЗРА ТДА №1 и ТДА №2 (Проект № 19-2102-P) Уважаемый Алексей Александрович! В настоящее время на территории АО «НПО «ГЕЛИЙМАШ» ведутся работы по устранению рекламации по турбодетандерным агрегатам (далее – «ТДА») ТДА 2.2., КВ 21197.00.000 ТУ 3642-020-00219247-2016, ТТ 167.19-УПГ.КС-ТДА-ТТ изм. 3 (зав. № 210801) (далее – «ТДА 1») и ТДА 3.2., КВ 21197.00.000-01 ТУ 3642-020-00219247-2016, ТТ 167.19-УПГ.КС-ТДА-ТТ изм. 3 (зав. № 210002) (далее – «ТДА 2»), поставленных на объект «Обустройство Песчаного месторождения. Компрессорная станция с установкой подготовки газа. Агрегат турбодетандерный ТДА 182,2/11,6 – 2 шт.» (далее – «Объект») по Договору поставки № ДП_64025_93135_41449 от 28.05.2020г. (далее – «Договор»). Информирую Вас, что в целях проведения монтажных, сварочных, пусконаладочных работ, а также работ по проверке ТДА силами ЭТЛ на Объекте АО «НПО «ГЕЛИЙМАШ» и субподрядные организации отправляют суммарно до 28 сотрудников. Прошу Вас сообщить даты остановов каждой из ниток УНТС и общего останова УНТС. Также прошу Вас оказать содействие в размещении сотрудников АО «НПО «ГЕЛИЙМАШ» и других субподрядных организаций по Проекту в период с 09.06.2025г. по 12.08.2025г. согласно Приложению № 1 к настоящему письму. [ATTACHMENTS]",Блок директора по газу
"Общество с ограниченной ответственностью «Газпром инвест» (ООО «Газпром инвест») Филиал «Надым-Пур-Таз» Исполнительному директору проекта «Ямбург» ООО «Газпромнефть-Заполярье» С.С. Девятьярову ул. Набережная, д. 24 А, г. Новый Уренгой, ЯНАО, Тюменская область, Российская Федерация, 629307 тел.: +7 (812) 455-17-00 доб. 17500, газ. тел.: (785) 17500 e-mail: NPT@invest.gazprom.ru, www.invest.gazprom.ru ОКПО 61082839, ОГРН 1077847507759, ИНН 7810483334, КПП 890443002 на № от О реализации проекта, код ПИР 051-1004952 Уважаемый Сергей Сергеевич! В соответствии с техническими условиями на примыкание и пересечение с линейными коммуникациями существующей автодороги ООО «Газпромнефть-Заполярье» (далее – ТУ) в рамках проекта «Обустройство Ямбургского месторождения. Куст скважин 402Ач. Основание площадки» от водозабора ООО «Газпром добыча Ямбург» на р. Хадуттэ до кустовой площадки 402 Ач (далее – Автодорога), полученными письмом ООО «Газпромнефть-Заполярье» от 13.01.2025 № 19/3/000186, филиалом ООО «Газпром инвест» «Надым-Пур-Таз» (далее – Агент) организована работа по корректировке, утвержденной Решением ПАО «Газпром» от 03.04.2023 № 078-2023/1004952, проектной документации по объекту «Обустройство Восточно-Харвутинской площади Ямбургского НГКМ» (код ПИР 051-1004952, далее – Проект) в части исключения участка автодороги и проектирования примыканий к планируемой к строительству Автодороги ООО «Газпромнефть-Заполярье». Вышеуказанная корректировка проектной документации организована на основании представленных ООО «Газпромнефть-Заполярье» планируемых сроках реализации Автодороги (письмо от 06.12.2023 № 19/3/013951), также получена положительная резолюция заместителя Председателя Правления – начальника Департамента ПАО «Газпром» О.Е. Аксютина от 30.10.2024 № 06-5200 в части выполнения работ по корректировке Проекта. По имеющейся информации у Агента ООО «Газпромнефть-Заполярье» рассматриваются варианты реализации автодороги, в том числе строительство технологического проезда без приведения Автодороги до проектной категории, а также альтернативные варианты пересечения р. Хадуттэ без строительства моста. С целью корректной организации Агентом дальнейшей работы по корректировке ПД просим Вас предоставить информацию по следующим вопросам: 1. В каком виде планируется реализация Автодороги, примыкание к которой определено техническими условиями ООО «Газпромнефть-Заполярье» от 13.01.2025 № 19/3/000186. 2. В случае строительства Автодороги не в проектном исполнении необходимы характеристики (отсыпка, высота и т.д.) планируемой к строительству дороги (проезда) с указанием нормативного документа, которому будет соответствовать сооружение, также указать каким образом планируется переправа через р. Хадуттэ. 3. Определить необходимость корректировки ранее выданных ТУ на примыкание. 4. Указать сроки строительства автодороги (проезда), а также мостового перехода, период использования ООО «Газпромнефть-Заполярье» для строительства объектов, планируемую дату ввода в эксплуатацию. 5. Сообщить каким способом осуществляется переправа через р. Хадуттэ. 6. Тарифы за использование автодороги (проезда), включая переправу через р. Хадуттэ; 7. Сообщить иную информацию, которую необходимо учесть ООО «Газпром инвест» при корректировке проектной документации. Заместитель директора по ПИР и подготовке производства И.В. Ковзун B.A. Завьялов (785) 17-662 ДОКУМЕНТ НОДННСАН ЭЛЕКТРОННОЙ НОДННСБЮ Сертификат 90c502de37cc9d450cde970c7294b4e58a504dfa Владелец Ковзун Ирина Владимировна Действителен с 17.07.2024 по 17.07.2025 N 36/03/01/02-4612-НПТ от 01.04.2025","Проект ""Ямбург"""
"ООО «Тюмень Прибор» 625504, Тюменская область, м.р-н Тюменский, с.п. поселок Боровский, рп Боровский, п/р Южный, стр. 5. +7 3452 666 205 +7 4997 041 191 info@tmnp.ru https://tyumen-pribor.ru/ ОКПО: 34925956 ОГРН: 1027200832086 ИНН: 7203123762 КПП: 722401001 ПИСЬМО Исх. № 355/12 от 25.04.2025 На исх.№ 11/11/005602 от 21.04.25 О направлении персонала для проведения ПНР Руководителю проекта «Трубопроводный транспорт Чаяндинского НГКМ» ООО «Газпромнефть-Заполярье» А.А. Першину Тел.: +7 (3452) 53-90-27 E-mail: GPN-Zapolar@yamal.gazprom-neft.ru Уважаемый Андрей Александрович! ООО «Тюмень Прибор» выражает Вам свое почтение и в рамках исполнения обязательств по договору №ГНЗ-24_11000_00609_P от 28.06.2024 г., выполнение шеф-монтажных и пусконаладочных работ по объекту «Система автоматизированная управления технологическими процессами АСУ ТП на объектах Хамакинского горизонта, Чаяндинского НГКМ», подтверждает возможность командирования специалиста для выполнения пусконаладочных работ в период с 15.05.25 по 20.05.25, с учетом организационных мероприятий, выполнения требований по допуску на объект. Данные о командируемом сотруднике и точные даты его прибытия будут направлены дополнительно. Обращаем Ваше внимание, что: договором не предусмотрена проведение ПНР в рамках одного объекта; работы должны выполняться на объекте полной строительной готовности к работам. Учитывая планируемые дополнительные поставки оборудования, требующие настройки и проверки нашего оборудования в рамках ПНР, предлагаем рассмотреть возможность переноса сроков проведения работ на период полной поставки всего оборудования. Это позволит: выполнить комплексные пусконаладочные работы единовременно; обеспечить ввод систем в эксплуатацию в полном объеме; минимизировать необходимость дополнительных затрат. По итогам селектора от 24.04.25, на адреса: Ognev.AS@gazprom-neft.ru; Sharonov.MV@tmn.gazprom-neft.ru, направлены вопросы, касающиеся подготовки к проведению ПНР. Просим до 30.04.25 предоставить ответы по указанным вопросам для обеспечения подготовки к пусконаладочным работам. Надеемся на дальнейшее взаимовыгодное сотрудничество. Технический директор Исполнитель: Номировский Владимир Васильевич Начальник производственного отдела Тел. (666-205) доб.1053 Email: nvv@tmnp.ru M.B. Baneev ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: 01986D56008BB1D6B142B578F224D9F818 Выдан: Валеев Марсель Васильевич Владелец: Валеев Марсель Васильевич Действителен: с 10.06.2024 по 21.06.2025","Проект ""Трубопроводный транспорт Чаяндинского НГКМ"""
Директору программ по управлению системой снабжения и цифровизации закупок ООО «Газпромнефть - Заполярье» Руководителю направления Раянову Р.Р. Отдел технического сопровождения и контроля производства МТР Сидорову В.Ю. Уважаемые коллеги! В рамках реализации мероприятий по перемещении лиц в обязательствах по [ATTACHMENTS],Блок заместителя генерального директора по закупкам
