label,text
Блок директора по проектированию,"МИНИСТЕРСТВО ПРИРОДНЫХ РЕСУРСОВ И ЭКОЛОГИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОЕ АГЕНТСТВО ПО НЕДРОПОЛЬЗОВАНИЮ ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОСУДАРСТВЕННАЯ КОМИССИЯ ПО ЗАПАСАМ ПОЛЕЗНЫХ ИСКОПАЕМЫХ (ФБУ ГКЗ) [LOCATION] тел./факс [CONTACT]/[CONTACT]. E-mail: [CONTACT] ОКПО [ID], ОГРН [ID] ИНН/КПП [ID]/[ID] [DATE_TIME] No [DOCUMENT_NUMBER] По списку на No от Уважаемые коллеги! В связи с необходимостью внесения изменений в организационный план, информируем Вас о том, что проведение форума Технологический день [ORGANIZATION], ранее запланированного на [DATE_TIME], переносится на I квартал [DATE_TIME]. Мы выражаем признательность за Ваш интерес к участию в форуме и уверены, что предстоящее мероприятие будет способствовать укреплению сотрудничества в сфере недропользования и геологоразведки между Российской Федерацией и Республикой [COUNTRY]. Новую дату и место проведения форума Технологический день [ORGANIZATION] мы сообщим Вам дополнительным письмом. Генеральный директор [PERSON] Исп.: [PERSON] [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] по теме: О заключении ДС No7 к Договору No [DOCUMENT_NUMBER] Уважаемая [PERSON]! В ответ на [DOCUMENT_NUMBER] о заключении ДС No 7 [ORGANIZATION] выражает свое согласие на заключение дополнительного соглашения No 7 к Договору No [DOCUMENT_NUMBER] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]. С учетом корректировок и исключением пункта 11 проекта дополнительного соглашения, обозначенные условия не были включены в ценовое предложение при проведении конкурентного отбора и возлагаются дополнительные обязанности, которые в дальнейшем станут причиной незапланированных расходов. Направляем Вам проект дополнительного соглашения в согласованной редакции ( [ATTACHMENTS]"
Блок директора по мощностям,"[ORGANIZATION] имеет юридический адрес: [LOCATION]. Электронный адрес: [CONTACT]. ИНН/КПП [ID]. р/с [FINANCIAL_DATA] в [ORGANIZATION] к/с [FINANCIAL_DATA] БИК [ID]. ОКПО [ID]. ОКВЭД [ID]. Исх. No [DOCUMENT_NUMBER] от [DATE_TIME]. Директору по вводу новых мощностей [ORGANIZATION] [PERSON]. О согласии на заключение ДС No13 Уважаемый [PERSON]! [ORGANIZATION] оказывает супервайзерские услуги при строительстве и реконструкции, бурении скважин на основании Договора No [DOCUMENT_NUMBER] от [DATE_TIME] на объектах строительства скважин [ORGANIZATION]. Рассмотрев проект дополнительного соглашения No13 к Договору на оказание супервайзерских услуг при строительстве и реконструкции, бурении (в т.ч. геологоразведочном), испытании поисково-разведочных скважин, зарезке боковых стволов и углублении скважин) No [DOCUMENT_NUMBER] от [DATE_TIME] [ORGANIZATION] выражает согласие к заключению данного дополнительного соглашения, предметом которого является: Перевод части негарантированных объемов услуг [DATE_TIME] [OBJECT] в гарантированные объемы услуг [DATE_TIME], [OBJECT] и [OBJECT], а также в резервные средства негарантированного объема [DATE_TIME] без изменения общего объема услуг, суточных ставок, срока действия Договора и стоимости Договора. С уважением, Директор [PERSON]"
Управление по проектным работам,"[ORGANIZATION] Общество с ограниченной ответственностью [ORGANIZATION] (ООО [ORGANIZATION]) Адрес для почтовой корреспонденции: а/я [LOCATION] Юридический адрес: [LOCATION] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[DOMAIN] [ID], [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на [DATE_TIME] [PERSON] совместно с [ORGANIZATION] выполняет проектно-изыскательские работы по объекту [OBJECT]. [ORGANIZATION] уведомило о своей готовности к сдаче полевых инженерно-геодезических работ и передаче геодезических знаков на сохранность маркшейдерской службе [ORGANIZATION]. Материалы для сдачи были направлены [DATE_TIME] на адрес электронной почты [CONTACT] с адреса электронной почты [CONTACT]. Просим Вас запланировать полевую приемку объекта и передачу на сохранность геодезических знаков маркшейдерской службе [ORGANIZATION]. Сообщаем также, что ответственным представителем на объекте является инженер-геодезист [ORGANIZATION] [PERSON], тел.: [CONTACT]. [ATTACHMENTS]"
"Проект ""Нефтяные краюшки""","[ORGANIZATION] [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[ORGANIZATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] от [DATE_TIME] О рассмотрении [OBJECT] Уважаемый [PERSON]! В ответ на Ваше обращение о рассмотрении [OBJECT] и [OBJECT] установки подготовки нефти и газа [OBJECT] сообщаю, что к предоставленной схеме замечаний нет. Окончательное согласование решений по учету потоков со стороны [ORGANIZATION] (далее Общество) будет возможно после направления на рассмотрение и согласование в Обществе [OBJECT] с указанием условий учета и методики учета добываемых полезных ископаемых, разработанной в соответствии с требованиями законодательства Российской Федерации, а также отражения в техническом проекте разработки месторождения информации о применении косвенных методов расчета углеводородного сырья. Заместитель генерального директора по перспективному развитию [PERSON] [CONTACT] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок технического директора,"[ORGANIZATION] Филиал в г. [LOCATION] Исполняющему обязанности Техническому директору [ORGANIZATION] Копия: [ORGANIZATION] [LOCATION] тел.: [CONTACT], факс: [CONTACT], e-mail: [CONTACT] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] No [DOCUMENT_NUMBER] от [DATE_TIME] на No от [DATE_TIME] на [LOCATION] УВЕДОМЛЕНИЕ о введении ограничения режима потребления электрической энергии 1. [ORGANIZATION] оказывает услуги по передаче электрической энергии в отношении энергопринимающих устройств [ORGANIZATION] (далее - Потребитель). Юридический адрес Потребителя: [ADDRESS], Точки поставки Потребителя: 2. Мобильные бригады с жилым городком КРС No11, КРС No12, КРС No14 Вариант подключения 1: АВ-0,4кВ 200А РУ-0,4кВ КТП 10/0,4кВ на кустовых площадках (скважинах) [ORGANIZATION]; Вариант подключения 2: Розетка 380В (60А) наружная от АВ-0,4кВ 63А РУ-0,4кВ КТП 10/0,4кВ на кустовых площадках (скважинах) [ORGANIZATION] 3. Потребитель не исполняет своих обязательств перед [ORGANIZATION] по договору энергоснабжения No [DOCUMENT_NUMBER] от [DATE_TIME]. По состоянию на [DATE_TIME] за Потребителем в рамках указанного договора числится задолженность: - по оплате электроэнергии, поставленной в [MONTH] [YEAR], в размере [FINANCIAL_DATA] руб.; - Также, до [DATE_TIME], в соответствии с условиями договора No[DOCUMENT_NUMBER] от [DATE_TIME] [ORGANIZATION] обязано произвести предварительный платеж за электроэнергию (30) поставка которой производится в [MONTH] [YEAR], в размере [FINANCIAL_DATA] руб., до [DATE_TIME] произвести предварительный платеж за электроэнергию (40) поставка которой производится в [MONTH] [YEAR], в размере [FINANCIAL_DATA] руб. и до [DATE_TIME] (до наступления даты введения ограничения режима потребления электрической энергии) произвести предварительный платеж за электроэнергию (30) поставка которой будет производиться в [MONTH] [YEAR], в размере [FINANCIAL_DATA] руб. ИТОГО: [FINANCIAL_DATA] руб. 3. В связи с указанной задолженностью, на основании абзаца 2 подпункта б пункта 2, пунктов 3, 4, 6 – 7(2), 8, 8(1), 9 – 10 – 13, 21 Правил полного и (или) частичного ограничения режима потребления электрической энергии, утвержденных постановлением Правительства РФ от [DATE_TIME] No [NUMBER] (далее Правила), прошу осуществить следующие мероприятия: 3.1. Произвести контроль за самостоятельным полным ограничением режима потребления, которое должно быть осуществлено Потребителем до [TIME] [DATE_TIME]. Выполнение (невыполнение) Потребителем действий по самостоятельному ограничению режима потребления и показания приборов учета на момент, на который назначено такое ограничение, прошу зафиксировать посредством составления акта о введении ограничения режима потребления (пункт 7(1) Правил). В случае необеспечения [ORGANIZATION] доступа к принадлежащим ему энергопринимающим устройствам/приборам учета прошу оформить акт о необеспечении доступа (пункт 7(2) Правил). 3.2. Начиная с [TIME] [DATE_TIME] (вне зависимости от выполнения/невыполнения [ORGANIZATION] действий по самоограничению) прошу ввести полное ограничение режима потребления электрической энергии в отношении Потребителя. Введение полного ограничения режима потребления прошу оформить документально путем составления акта о введении ограничения режима потребления (пункт 11 Правил). 4. Потребителю в установленном порядке направлено (посредством почтовой связи) уведомление о введении ограничения режима потребления (копию уведомления прикладываю). 5. В случае если основания для введения ограничения режима потребления в отношении Потребителя будут устранены, [ORGANIZATION] незамедлительно уведомит об этом [ORGANIZATION]. 6. Обращаю внимание, что, начиная с момента времени, на который назначено самостоятельное ограничение режима потребления ([TIME] [DATE_TIME]), исполнение обязательств [ORGANIZATION] по договору No[DOCUMENT_NUMBER] от [DATE_TIME] приостанавливается, а потребление электроэнергии объектами Потребителя после указанного момента будет являться бездоговорным потреблением и повлечет последствия бездоговорного потребления. В частности объем потребления Потребителя должен будет определяться расчетным способом и взыскиваться сетевой организацией (пункт 21 Правил; пункт 189 Основных положений функционирования розничных рынков электрической энергии, утвержденных постановлением Правительства РФ от [DATE_TIME] No [NUMBER]). 7. О ходе предусмотренных настоящим уведомлением мероприятиях прошу информировать [ORGANIZATION], в том числе направлять все оформляемые документы (акт о введении ограничения режима потребления, акт об отказе в доступе и др.). Контактное лицо со стороны [ORGANIZATION]: [PERSON] тел. [CONTACT], e-mail: [CONTACT] [ATTACHMENTS]"
Блок деректора по газу,"[ORGANIZATION] [LOCATION] Тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] www.[DOMAIN] [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No [DOCUMENT_NUMBER] от [DATE_TIME] О согласовании проезда техники Уважаемый [PERSON]! В ответ на письмо от [DATE_TIME] No[DOCUMENT_NUMBER] О согласовании проезда техники [ORGANIZATION] (далее - Общество) сообщает, что временные ограничения движения в период возникновения неблагоприятных природно-климатических условий введены распоряжением Общества ввиду снижения несущей способности конструктивных элементов автомобильной дороги, вызванных их переувлажнением. В случае необходимости проезда в период с [DATE_TIME] по [DATE_TIME] тяжеловесного и (или) крупногабаритного транспортного средства по автомобильным дорогам, принадлежащим Обществу на праве собственности и переданным ему по договору аренды с [ORGANIZATION], необходимо получение специального разрешения, которое грузоперевозчики получают в Федеральной государственной системе выдачи специальных разрешений на движение тяжеловесных и (или) крупногабаритных транспортных средств [ORGANIZATION]. Заместитель генерального директора по общим вопросам [PERSON] Не удалять [PERSON] [CONTACT]"
Блок директора по мощностям,"[ORGANIZATION] [OBJECT] Общество с ограниченной ответственностью [ORGANIZATION] Филиал [LOCATION] [ORGANIZATION] Директору по вводу новых мощностей [ORGANIZATION] [PERSON] [LOCATION] тел./факс: [CONTACT], e-mail: [CONTACT], www.[WEBSITE] [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Об опережающей оплате выполненных работ Уважаемый [PERSON]! В соответствии с действующим договором No[DOCUMENT_NUMBER] от [DATE_TIME] (далее – Договор) филиал [LOCATION] [ORGANIZATION] выполняет работы по бурению на КП No[NUMBER], КП No[NUMBER] [LOCATION] НГКМ. Просим вас произвести опережающую оплату выполненных работ по скв No [NUMBER] [LOCATION] НГКМ (Счет-фактура No [DOCUMENT_NUMBER] от [DATE_TIME]) в полном объеме на сумму [FINANCIAL_DATA] руб с НДС и по скв No[NUMBER] [LOCATION] НГКМ (Счет-фактура No [DOCUMENT_NUMBER] от [DATE_TIME]) на сумму [FINANCИAL_DATA] руб с НДС. Итого общая сумма опережающей оплаты [FINANCIAL_DATA] руб с учетом НДС. Надеемся на дальнейшее плодотворное и взаимовыгодное сотрудничество. С уважением, Директор [PERSON] Исп.: [PERSON] тел.: [CONTACT] эл.почта: [CONTACT]"
"Проект ""Нефтяные краюшки""","[ORGANIZATION] [LOCATION] тел: [CONTACT]; факс: [CONTACT] E-mail: [CONTACT] От [DATE_TIME] No [DOCUMENT_NUMBER] в [ORGANIZATION] [POSITION] [PERSON] e-mail: [CONTACT] Тема: о направлении ориентировочного графика реализации проекта Уважаемый [PERSON]! В письменном запросе о формировании состава команды по турбоагрегатам на проект [OBJECT] направлен ориентировочный план реализации проекта. Обращаем Ваше внимание, что обозначенные в графике сроки поставки несут обязательный характер и зависят от согласования комплекта конструктивной документации, передачи прав по договору поставки и авансирования изготовления. С уважением, [PERSON]"
Блок заместителя генерального директора по безопасности,"[ORGANIZATION] Филиал [LOCATION], (а/я [ADDRESS]), г. [CITY], [REGION], [COUNTRY], [ZIP_CODE] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от О результатах корпоративного контроля Уважаемый [PERSON]! Во исполнение требований п.1.20 СТО [ORGANIZATION] [CONTACT] Положения по организации и проведению контроля за соблюдением требований промышленной безопасности и обеспечением работоспособности объектов Единой системы газоснабжения [ORGANIZATION] направляем Вам информацию о результатах корпоративного контроля, проведенного в [DATE_TIME] специалистами [FILIAL] согласно календарным планам на объектах [ORGANIZATION] по следующим направлениям деятельности: 1. Отдел по контролю за техническим состоянием газовых и нефтяных объектов: В отчетном периоде специалистами отдела по контролю за техническим состоянием газовых и нефтяных объектов проверки не проводились. Длительно не устраненное несоответствие, зафиксированное в пункте No[NUMBER] Акта No[DOCUMENT_NUMBER] от [DATE_TIME] В конструкцию установки мобильной подготовки нефти внесены изменения по подключению в технологическую схему вновь монтируемых аппаратов [OBJECT], [OBJECT] и [OBJECT], замене линейного трубопровода от КСУ до РГС [NUMBER]-[NUMBER], замена ГФУ (Не представлен проект на МУПН [OBJECT]). Срок устранения по акту [DATE_TIME]. Перенос срока устранения несоответствия на [DATE_TIME] (письмо [FILIAL] о переносе срока устранения от [DATE_TIME] No[DOCUMENT_NUMBER]). Срок устранения истек [DATE_TIME]. 2. Отдел по контролю за надежностью и безопасностью энергетических объектов: В отчетном периоде специалистами отдела по контролю за надежностью и безопасностью энергетических объектов проверки не проводились. Длительно не устраненные несоответствия отсутствуют. Несоответствия, [NUMBER] выявленные ранее, устранены согласно срокам их устранения. Аварий и инцидентов на энергетических объектах, а также несчастных случаев с персоналом, обслуживающим энергоустановки, не зарегистрировано. Специалисты Энергетической инспекции филиала [FILIAL] участие в комиссии по проверке норм и правил работы в электроустановках и в комиссии по проверке норм и правил работы в тепловых энергоустановках не принимали. 3. Отдел по контролю за эффективным использованием газа: В отчетном периоде проверки не были запланированы и специалистами отдела по контролю за эффективным использованием газа не проводились. Длительно не устраненные несоответствия отсутствуют. Несоответствия, выявленные ранее, устранены согласно установленным срокам. 4. Отдел экологического контроля: В отчетном периоде проверки не были запланированы и специалистами отдела экологического контроля не проводились. Длительно не устраненные несоответствия отсутствуют. Несоответствия, выявленные ранее, устранены согласно установленным срокам. Остается на контроле до полного и безусловного устранения несоответствие, выявленное при проведении контрольного мероприятия в [DATE_TIME] и зафиксированное в п. 1 Акта проверки соблюдения природоохранных требований от [DATE_TIME] No[DOCUMENT_NUMBER] ([OBJECT]) (срок устранения [DATE_TIME]). 5. Отдел по контролю за соблюдением требований охраны труда и пожарной безопасности: В отчетном периоде специалистами отдела по контролю за соблюдением требований охраны труда и пожарной безопасности проверки не проводились. Длительно не устраненные несоответствия отсутствуют. ДОКУМЕНТ ПОДЛИННАЯ ЭЛЕКТРОННОЙ ПОДЛИННОСТИ Сертификат: [FINANCIAL_DATA] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME] Начальник управления [PERSON] ([CONTACT])"
