label,train,train_augmented
Блок бизнес-директора,6,36
Блок деректора по газу,59,59
Блок директора по газовым проектам,24,36
Блок директора по мощностям,197,197
Блок директора по персоналу,14,42
Блок директора по портфелю,19,41
Блок директора по проектированию,35,34
Блок директора по строительству,135,134
Блок заместителя генерального директора по безопасности,101,101
Блок заместителя генерального директора по закупкам,54,54
Блок заместителя генерального директора по защите,20,40
Блок заместителя генерального директора по имуществу,13,41
Блок заместителя генерального директора по организационным вопросам,47,47
Блок заместителя генерального директора по строительству,1,31
"Блок исполнительного директора по реализации проекта ""Большое месторождение""",3,31
Блок операционного директора,26,34
Блок технического директора,202,202
Блок финансового директора,20,40
Генеральный директор,83,83
Имущественные вопросы,1,31
Подразделение по информационным технологиям,1,31
"Проект ""Восточный""",14,43
"Проект ""Нефтяные краюшки""",64,64
"Проект ""Новая нефть""",30,30
"Проект ""Обустройство площадных объектов НГКМ Поменбше""",4,34
"Проект ""Северная деревня""",29,31
"Проект ""Трубопроводный транспорт Главного НГКМ""",15,43
"Проект ""Южный""",9,39
Проект «Обустройство Интересного лицензионного участка»,5,35
Проект «Обустройство объектов Новейшей нейти»,2,32
Проект «Обустройство объектов Новой нефти»,14,43
Проект «Трубопроводный транспорт Ещё одного НГКМ»,1,30
Проект сервиса скважин,38,38
Управление землеустроительных работ,18,42
Управление коммуникаций,5,35
Управление по проектным работам,110,110
