label,text,sample_id
Блок директора по проектированию,"В связи с необходимостью внесения изменений в организационный план форума Технологический день [ORGANIZATION] переносится на I квартал [DATE_TIME] и перейдет на ближайшую неделю. Эксперты отмечают, что форум будет способствовать укреплению сотрудничества в сфере недропользования и геологоразведки между Российской Федерацией и Республикой «COUNTRY».",0
Блок заместителя генерального директора по организационным вопросам,«ORGANIZATION] выражает свое согласие на заключение дополнительного соглашения No 7 к Договору No [DOCUMENT_NUMBER] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT] в рамках Договора о социально-коммунальном назначении.,1
Блок директора по мощностям,"«ORGANIZATION» согласился заключить дополнительное соглашение No13 к Договору на оказание супервайзерских услуг при строительстве и реконструкции, бурении скважин на объектах строительства скваженных объектов.",2
Управление по проектным работам,Общество с ограниченной ответственностью «ORGANIZATION» заявило о своей готовности к сдаче полевых инженерно-геодезических работ и передаче геодезических знаков маркшейдерской службе на сохранность маркшейдера.,3
"Проект ""Нефтяные краюшки""","Организация подготовки нефти и газа «ORGANIZATION» рассматривает схему учета потоков нефтяного месторождения, разработанной в соответствии с требованиями законодательства Российской Федерации.",4
Блок технического директора,Введение ограничения режима потребления электрической электроэнергии в отношении энергопринимающих устройств «ORGANIZATION» (далее - Потребитель) может быть введено в соответствующем порядке. Это связано с ограничением режима энергопотребления в отношение энергопринимающего устройства «OРGAНIZАTIOН».,5
Блок деректора по газу,"Временные ограничения движения в период возникновения неблагоприятных климатических условий введены распоряжением Общества ввиду снижения несущей способности конструктивных элементов автомобильной дороги, вызванных переувлажнением конструкций автомобильной трассы.",6
Блок директора по мощностям,Директор филиала по введению новых мощностей «ORGANIZATION» требует произвести опережающую оплату выполненных работ в полном объеме на сумму [FINANCIAL_DATA] с учетом НДС на сумме [FИНANCИAЛ_DAATA] руб с учетым НДС.,7
"Проект ""Нефтяные краюшки""","«POSITION] направлен ориентировочный план реализации проекта «OBJECT» на проект «ORGANIZATION». Это ориентировочные сроки реализации, зависящие от согласования комплекта конструктивной документации, передачи прав по договору по поставки и авансирования изготовления.",8
Блок заместителя генерального директора по безопасности,"Единая система газоснабжения «ORGANIZATION» провела корпоративный контроль за техническим состоянием газовых и нефтяных объектов Единой системы газопотребления (ESG) на территории Москвы и Санкт-Петербурга. Эксперты считают, что результаты корпоративного контроля будут выполнены в соответствующем порядке.",9
"Проект ""Северная деревня""","Пользователю недр может быть предоставлена справка об отсутствии ограничений для работы, связанных с пользованием нефтяными месторождениями, при намечаемой застройке площади горного отвода «LOCATION] участка горного довода «ORGANIZATIION» под размещение объекта «OBJECT».",10
