label,text
Генеральный директор,"[ORGANIZATION] Публичное акционерное общество [ORGANIZATION] ([ORGANIZATION]) Адрес для почтовой корреспонденции: [LOCATION] Юридический адрес: [LOCATION] тел.: [CONTACT], факс: [CONTACT], телекс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Об исполнении протокола Уважаемый [PERSON]! Со ссылкой на письмо [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] за подписью заместителя Председателя Правления – начальника Департамента [ORGANIZATION] [PERSON] в адрес Председателя Правления [ORGANIZATION] [PERSON] по предоставлению в [ORGANIZATION] информации об исполнении решений протокола очного заседания Экспертного совета [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] (далее – Протокол ЭС), касающихся передачи проектов обустройства газовой части Тас-Юряхского и Верхневилучанского месторождений из [ORGANIZATION] в [ORGANIZATION], прошу Вас организовать работу по представлению в [ORGANIZATION] в срок до [DATE_TIME] информации о статусе исполнения пунктов Протокола ЭС по состоянию на [DATE_TIME] в соответствии с формой, направленной письмом [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER]. Начальник Департамента [PERSON] [PERSON] [CONTACT] [ID] No [DOCUMENT_NUMBER] [ORGANIZATION], ООО [LOCATION] от [DATE_TIME]"
Блок директора по мощностям,"[ORGANIZATION] ОГРН: [ID], ИНН/КПП: [ID] РФ, [LOCATION], [CONTACT] Исх. No [DOCUMENT_NUMBER] /[DATE_TIME] от [DATE_TIME] г. Руководителю направления по внутрискважинным работам [ORGANIZATION] [PERSON] О согласии с допретензионными требованиями Уважаемый [PERSON]! В рамках договора No[DOCUMENT_NUMBER]/[DATE_TIME] от [DATE_TIME] г. между [ORGANIZATION] и [ORGANIZATION] на выполнение работ по освоению скважин методами свабирования и компрессирования при ТКРС на [OBJECT] и [OBJECT] в период [DATE_TIME]–[DATE_TIME] гг. (далее – Договор), в ответ на Ваше письмо No[DOCUMENT_NUMBER]/[DATE_TIME] от [DATE_TIME] г. О нарушений условий Договора, сообщаем о согласии оплаты в соответствии с допретензионными требованиями. На основании вышеизложенного, просим Вас рассмотреть возможность сторнирования суммы штрафа в размере [FINANCIAL_DATA] (девяносто тысяч) рублей 00 копеек в счет оплаты по Договору, за выполненные работы по освоению скважин методами свабирования и компрессирования при ТКРС на [OBJECT] и [OBJECT] в [DATE_TIME] году. Просим Вас направить акт взаимных требований для проведения взаимозачета. С Уважением, Директор по ВСР [PERSON] Исп.: [PERSON] Тел.: [CONTACT]"
Блок технического директора,[ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] [PERSON] [PERSON
Блок директора по газовым проектам,"[ORGANIZATION] [LOCATION] Телефон: [CONTACT], факс: [CONTACT] E-mail: [CONTACT], http://[ORGANIZATION] ОКНН [ID], ОГРН [ID] ИНН: [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от О проведении внеплановой выездной проверки Уважаемый [PERSON]! В соответствии со статьей 21 Федерального закона от [DATE_TIME] No [DOCUMENT_NUMBER] О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации (далее – Федеральный закон No [DOCUMENT_NUMBER]) [ORGANIZATION] уведомляет о проведении внеплановой выездной проверки объекта капитального строительства [OBJECT]. Терминал отгрузки [OBJECT] и [OBJECT] 1 этап строительства. В соответствии с пунктом 1112 постановления Правительства Российской Федерации от [DATE_TIME] No [DOCUMENT_NUMBER] (в редакции от [DATE_TIME]) Об особенностях организации и осуществления государственного контроля (надзора), муниципального контроля решение о проведении контрольного (надзорного) мероприятия принимается путем внесения соответствующей информации в единый реестр контрольных (надзорных) мероприятий (далее – ЕРКНМ) и ее подписания без необходимости вынесения отдельного решения. ЕРКНМ размещен по адресу: [CONTACT], номер проверки в ЕРКНМ [DOCUMENT_NUMBER]. Предмет, объект контроля (надзора), а также сроки проведения проверки указаны в электронном паспорте ЕРКНМ (выписка прилагается). [ORGANIZATION] Генеральному директору [PERSON] [CONTACT] [DATE_TIME] Согласно статье 31 Федерального закона No [DOCUMENT_NUMBER], контрольные (надзорные) мероприятия и совершение контрольных (надзорных) действий во взаимодействии, осуществляются при обязательном присутствии контролируемого лица либо его представителя. В качестве представителей контролируемого лица могут выступать законные представители граждан, законные представители организаций, уполномоченные представители. Уполномоченными лицами на проведение контрольного (надзорного) мероприятия от [ORGANIZATION] назначены: * [PERSON] [PERSON] заместитель руководителя [ORGANIZATION], * [PERSON] [PERSON] начальник [OBJECT], * [PERSON] [PERSON] главный государственный инспектор [OBJECT], * [PERSON] [PERSON] старший государственный инспектор [OBJECT]. Заместитель руководителя [PERSON] [PERSON] ([CONTACT])"
Проект «Обустройство объектов Новой нефти»,"Masc_0 Местопрелокация: ПАСK_1, тел. : MASTK_2, электронная почта: MAIC_3-House место расположения самостоятельного отряда No 1: [LOCATION]; Адрес отдельного подразделения No2: [LOCATION]; Адрес отдельного подразделения No 3: [LOCATION]. Тел.: [CONTACT], факс: [CONTACT], [ID], INN[LOCATION]0, www.[LOCATION]1, [LOCATION]2 No.MASC_13 on ish.[LOCATION]4 от [LOCATION]5 о согласии на заключение приказа, Dear MaSC_16! В настоящем письме &quot; МАСК17 &quot; выражает свое согласие с заключением ордонанса No [LOCATION]8 Договора No [LOCATION]9 от &quot; МАСК-20 &quot; о строительстве комплекса объектов, строительстве кустарных площадок и строительстве нефтепроводных сооружений для объектов в Восточной Сибири (включая строительство объектов [CONTACT]1), MASC_22 и MASC_23 от &quot; НМК &quot; в Чаяндине &quot; в прилагаемой версии настоящего письма. ПРИЛОЖЕНИЕ: 1. В дополнение к Приказу No [CONTACT]4 к Договору No [CONTACT]5 от [CONTACT]6. Примите, г-н Генеральный директор, [CONTACT]7 Автор: [CONTACT]8 [CONTACT]9 [CONTACT]0"
Блок директора по мощностям,"[ORGANIZATION] [ORGANIZATION] Филиал [LOCATION] – [REGION] [ORGANIZATION] Руководителю направления по бурению [ORGANIZATION] [PERSON] [LOCATION] [CONTACT], e-mail: [CONTACT], www.[WEBSITE] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] согласовании переноса инспекции на бурильный инструмент [OBJECT] Уважаемый [PERSON]! Филиал [LOCATION] – [REGION] будет строительство эксплуатационных скважин на [LOCATION] и [LOCATION] по суточной или фиксированной ставке. Сообщаем Вам о том, что на кустовой площадке No [NUMBER] _[NUMBER] [LOCATION] текущая наработка на бурильный инструмент [OBJECT] составляет [FINANCIAL_DATA] часов из [FINANCIAL_DATA] регламентируемых согласно техническому заданию. А также сообщаем что наработка на вышеуказанный бурильный инструмент после бурения скважины No[NUMBER] _ [NUMBER]_[NUMBER] будет составлять ориентировочно [FINANCIAL_DATA] часов. На основании вышеизложенного в связи с отсутствием дорожного сообщения с кустовой площадкой No [NUMBER] _[NUMBER], а также для недопущения непроизводительного времени при строительстве скважин и принимая во внимание что [OBJECT] перед забуриванием первой скважины кустовой площадки No[NUMBER] _[NUMBER] был завезен новым бурильным инкремент на гарантии от завода изготовителя. Просим Вас согласовать проведение инспекции на бурильный инструмент [OBJECT] по стандарту [STANDARD] после бурения скважины No[NUMBER] _[NUMBER]_[NUMBER]. Риски, связанные со съемом бурильного инструмента и потери КНБК берем на себя зону ответственности, при условии соблюдения утвержденного плана работ. Директор филиала [PERSON] тел.: [CONTACT] эл. почта: [CONTACT] Документ подписан электронной подписью Сертификат [ID] Владелец [PERSON] Действителен с [DATE_TIME] по [DATE_TIME]"
"Проект ""Южный""","На No** - рабочее совещание по подготовке технических проектов в области разработки технологий ТРИЗА ООО ""ОРГАНИЯ и АТИОН"" (CONTACT), по электронной почте: [CONTACT], http: http: / www. / RESON.ru. В связи с подготовкой технических проектов по разработке технологий геологоразведочных, разведочных и поисковых технологий, а также поиску и добыче труднодоступных ископаемых планируется провести рабочую встречу с представителями ""ОРГАНИЙ""/""ТРИЗ"". Совещание пройдет по адресу: [DATTE_TME] - офис ""ОГАНИАТИОН"". Пожалуйста, примите участие и направьте представителей вашей организации на данное мероприятие. Приложения 1 - Программа проведения совещаний. С уважением Генеральный директор по интеграции решений ИСП. [ПЕРСОН] [КОНТАКТ] [ОРГАНИЙ] [ОРГАНИОН]"
Блок деректора по газу,"[ORGANIZATION] [ID] [LOCATION] [CONTACT] Исх. No [DOCUMENT_NUMBER] /[DATE_TIME] Директору по razy [ORGANIZATION] [PERSON] об уровне кооперации Уважаемый [PERSON]! В рамках Договора No[DOCUMENT_NUMBER]/[DATE_TIME] (Бованенково 18G) заключенного между [ORGANIZATION] (далее - Заказчик) и [ORGANIZATION] (далее - Исполнитель) параметрами банковского сопровождения предусмотрено 2 уровня кооперации. В связи с необходимостью привлечения совместных для оказания услуг по транспортировке МТР и оборудования на КП-18Г Бованенковского месторождение просим Вас расширить уровень кооперации - 3 в параметрах ОБС. С уважением, Управляющий директор [PERSON]"
Блок директора по газовым проектам,"[ORGANIZATION] Должность руководителя [ORGANIZATION] [PERSON] на [DOCUMENT_NUMBER] от [DATE_TIME] О запрете производства огневых работ Уважаемый [PERSON]! В целях обеспечения бесперебойной работы газотранспортной системы, поддержания надежной и безопасной эксплуатации объектов [ORGANIZATION] (далее - Общество), а также предупреждения происшествий и нештатных ситуаций на объектах Общества, в нерабочие праздничные дни, руководствуясь приказом [ORGANIZATION] от [DATE_TIME] [DOCUMENT_NUMBER], сообщаем Вам о запрете производства огневых и газоопасных работ и других работ с повышенной опасностью в охранной зоне магистральных газопроводов [OBJECT] в период с [DATE_TIME] по [DATE_TIME], а также с [DATE_TIME] по [DATE_TIME]. Исполняющий обязанности главного инженера - первого заместителя генерального директора Документ подписан электронной подписью Сертификат [ID] Владелец [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] [PERSON] ([CONTACT]) [ORGANIZATION] N [DOCUMENT_NUMBER] от [DATE_TIME] Bx. No [DOCUMENT_NUMBER] от [DATE_TIME]"
Блок бизнес-директора,"Цифровые индустриальные платформы (ОГРН / ИНН) / ИНН / ИНН (ID) / No ""DATETIME"" No ""DOCOMENT-NUBER"" на ""ДОКУМЕНТ-НЮБЕР"" от ""PERSION""! Мы направили Вам предложение о предоставлении услуг по замене бензиновых заправок (ФИНАНЦИАЛ-ДАТА) на сумму три миллиона двести шестьсот тысяч рублей, которые облагаются НДС согласно законодательству Российской Федерации (20)). Организация. Сроки действия предложения - 60 дней с момента подачи. 2. Перечень работ, выполняемых по техническому заданию. 3. Оплата за выполненные работы производится Заказчиком на основании договора о выполненных работах, подписанного сторонами, и иных видов, включая электронные документы, в том числе электронные, начиная со следующего месяца после подписания акта о выполнении работ. обратная связь с заказчиком по онлайн-счетам осуществляется только после того, как деньги с банковского счета Заказчика списаны со счета банка-партнера. 3. Сроки выполнения работ по ""DATE TIME"" по ""DATTE MIME"". 5. Если качество или количественная характеристика системы будет изменена заказчиком, или появятся дополнительные требования к проекту, стоимость реализации проекта может быть пересмотрена. Приложение 1. Окончательный расчет цены. 3. Утвержденная ставка цен [DET_TIME]. 3. Техническая документация. Приложение 1 Организационно-управленческий пакет: No No [LOCATION] / CONTRACT / KPOCKT] Роль ""LOCACT"" / КП [КП] / ID / INDIATION"" / ИНДЕКТАЦИОН] / ФОРГАНИЯ / ИНН ID ID - NUMBIER"" Цена, рублей / шт. 1 ""ОБЖЕКТ"" [Numbner] ""ФИНАНЦИЙ DATA"" (Finanzial DADATA"") ""NUBBER"" [FinANcial Data] ""Financel_DAta"" [ФИНANCIAL_DAT"") ""ФИНАНСИЙ DEATT"") ""NoBJUBER"") ""ОБЕКТ"" ""OBjekt"" (Numbeer"") ""FINACIAL"" """
