text,label,src
"Цифровая индустриальная платформа [ORGANIZATION] [LOCATION] ОГРН [ID] / ИНН [ID] / КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] На [DOCUMENT_NUMBER] от [PERSON] Уважаемый [PERSON]! Направляем Вам коммерческое предложение на оказание услуг по переустановке заправляемых бензиновых [ORGANIZATION] сумма [FINANCIAL_DATA] (три миллиона девятьсот двадцать пять тысяч шестьсот рублей без НДС, облагается НДС в соответствии с законодательством РФ (20). Организация: 1. Срок действия предложения – 60 календарных дней. 2. Перечень выполняемых работ в соответствии с Техническим заданием. 3. Оплата выполненных работ осуществляется Заказчиком за фактически оказанные объемы работ на основании подписанных Сторонами Акта выполненных работ и счета-фактуры, иными видами, включая электронного документооборота в течение 30 (тридцати) календарных дней месяца следующего, за месяцем выполнения счета-фактуры. Обратная связь Заказчика по онлайн счетам осуществляется исключительно с момента списания денежных средств с корреспондентского счета банка Заказчика. 4. Срок выполнения работ с [DATE_TIME] по [DATE_TIME]. 5. В случае если качественные или количественные характеристики системы будут изменены Заказчиком, либо возникнут дополнительные требования по реализации проекта, оценка затрат на реализацию может быть изменена. Приложении: 1. Ориентировочный расчет стоимости. 2. Утвержденные ставки цен на [DATE_TIME]. 3. Техническое задание. С уважением, [PERSON] [LOCATION] [CONTACT] [PERSON] [ORGANIZATION] [LOCATION] [ID] / ИНН [ID] / КПП [ID] Приложение No1 Организационный пакет СТОУМОСТМ: No [DOCUMENT_NUMBER] Роль [DOCUMENT_NUMBER] Единица измерения Кол-во Цена, руб./шт Итого, руб.  1 [OBJECT] [UNIT] [NUMBER] [FINANCIAL_DATA] [FINANCIAL_DATA] 2 [OBJECT] [UNIT] [NUMBER] [FINANCIAL_DATA] [FINANCIAL_DATA] 3 [OBJECT] [UNIT] [NUMBER] [FINANCIAL_DATA] [FINANCIAL_DATA] Итого [NUMBER] [FINANCIAL_DATA] Техпасыбхбим дипектоп [PERSON] [ORGANIZATION] [LOCATION] [CONTACT]",Блок бизнес-директора,orig
"[ORGANIZATION] [ORGANIZATION] ИНН / КПП: [ID] / [ID] ОГРН [DOCUMENT_NUMBER], [DATE_TIME] Юр./ факт. адрес: [LOCATION] тел.: [CONTACT] e-mail: [CONTACT] [ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] Кому: [PERSON] О заключении Наряд-заказов Уважаемый [PERSON]! [ORGANIZATION] высоко ценит сотрудничество с [ORGANIZATION] (далее - Заказчик) и прилагает все усилия к тому, чтобы качественно и в срок выполнить все принятые на себя обязательства в рамках Договора No[DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по сбору и передаче данных, формирование отчетности, архивированию, визуализации (далее - Договор). В ответ на Ваше письмо от [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] выражает свое согласие на заключение Наряд-заказа No [NUMBER] и Наряд-заказа No [NUMBER] в рамках Договора по реализации нефтегазовых проектов по направлению Бурение, ТКРС без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора. С уважением, Коммерческий директор [ORGANIZATION] [PERSON] Исп. Руководитель проектов [PERSON] Тел. [CONTACT]",Блок бизнес-директора,orig
"[ORGANIZATION] ЗАМЕСТИТЕЛЬ ПРЕДСЕДАТЕЛЯ ПРАВЛЕНИЯ – НАЧАЛЬНИК ДЕПАРТАМЕНТА  
Адрес для почтовой корреспонденции: БОКС No 1255, [LOCATION]  
Юридический адрес: [LOCATION] тел.: [CONTACT], факс: [CONTACT], телекс: [CONTACT]  
e-mail: [CONTACT], www.[ORGANIZATION]  
ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID]  
[DATE_TIME] No [DOCUMENT_NUMBER] на No от Об участии в проекте  
Уважаемые коллеги! В 2024 году газотранспортным предприятием [ORGANIZATION] начата работа в части роботизации и внедрения технологического оборудования с использованием систем искусственного интеллекта. Первым проектом стал Роботизированный многофункциональный мобильный обходчик роботизированная платформа для выполнения плановых обходов территории производственных объектов, выполнения замеров загазованности и механизированной уборки территории. В октябре 2024 года проект продемонстрирован на Петербургском международном газовом форуме, где получил одобрение Председателя Правления [ORGANIZATION] в части развития и расширения области применения на объектах [ORGANIZATION]. Прошу принять участие в реализации указанного проекта с целью расширения области применения роботизированной платформы. Контактное лицо [ORGANIZATION] [PERSON] [CONTACT]. Приложение 1. Презентация проекта на 7 л. Приложение 2. Список рассылки на 1 л. С уважением [PERSON]",Блок бизнес-директора,orig
"Директору по бизнес-трансформации [ORGANIZATION] [PERSON] Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [ID] [CONTACT] e-mail: [CONTACT] http://www.[ORGANIZATION].ru Благодарность Уважаемый [PERSON]! Настоящим письмом выражаем благодарность Вам и Вашей команде в лице [PERSON] и [PERSON] за активное участие, содействие и профессионализм в реализации ОПЭ цифрового решения [DOCUMENT_NUMBER] Моя функция. Благодаря вкладу Вашей команды, тираж завершился успешно и команда цифрового проекта смогла достигнуть поставленных целей. Мы высоко ценим наше сотрудничество и надеемся на продолжение плодотворного взаимодействия в будущем. С уважением, [PERSON] [PERSON] [CONTACT] [ORGANIZATION]",Блок бизнес-директора,orig
"[ORGANIZATION] НЕФТЬ Публичное акционерное общество [ORGANIZATION] нефть (ПАО [ORGANIZATION] нефть) Для корреспонденции: [LOCATION], [DATE_TIME] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION]-neft.ru [ID], [ID], [ID], [ID] на No** _**от** _** Об утверждении матрицы распределения ответственности Уважаемый [PERSON]! В ответ на Ваше письмо исх. Письмо от [DATE_TIME] No [DOCUMENT_NUMBER] сообщаем следующее: 1. Проработано распределение функционала и ответственности между производственными Блоками дочернего общества [ORGANIZATION] при реализации договора видеоаналитики, подготовлен проект матрицы для направлений видеоаналитики бурение и ТКРС (Приложение No1). 2. Согласно методологии УИД (СК-[CONTACT] Управление исполнением договорных обязательств при выполнении работ/услуг в Блоке разведки и добычи) за формирование команды реализации договора отвечает Руководитель дочернего общества. 3. Для организации эффективной работы по сопровождению реализации договоров видеоаналитики по направлениям бурение и ТКРС предлагаем Вам сформировать и утвердить приказ по [ORGANIZATION]-[OBJECT] на основе подготовленной матрицы (Приложение No1) Приложение: 1. Матрица распределения функционала и ответственности. С уважением, [PERSON] [PERSON]",Блок бизнес-директора,orig
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ [ORGANIZATION] Адрес для корреспонденции: [LOCATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] Тел.: [CONTACT] e-mail: [CONTACT] [PERSON] на No от Приглашение на Демо-день цифровых НИОКР-проектов Уважаемый [PERSON]! Мы рады пригласить Вас на Демо-день цифровых НИОКР-проектов третьей волны [DATE_TIME], мероприятие состоится [DATE_TIME] (МСК). На встрече команда Дирекции цифрового инжиниринга поделится знаниями о том, как цифровые технологии могут помочь решить актуальные бизнес-задачи. В рамках мероприятия эксперты по технологиям и представители бизнеса обсудят возможности масштабирования решений для различных подразделений и дочерних обществ [ORGANIZATION]. Не упустите возможность узнать о последних тенденциях в области цифровых технологий и познакомиться с передовыми решениями! Проекты, которые будут представлены на мероприятии: 1. Малый прототип амплитудной корректной машины Изинга 2. 3D-печать металлических МТР на FDM принтере 3. Система проактивной диагностики динамического оборудования бурения 4. Безэкипажный катер для проведения гидрографических исследований 5. Комплексное исследование Самообучающаяся модель пласт 6. Акустический мониторинг утечек газа 7. Георадиолокация для определения мощности отсыпки 8. Дизайн полиуретановых материалов 9. Проверка возможности применения стратосферной управляемой платформы для задач прогнозирования ледовой обстановки [ORGANIZATION] Ожидаем вас в конференц-зале (304), расположенном в Цифергаузе по адресу: [LOCATION] С уважением, Директор Дирекции цифрового инжиниринга [PERSON] [PERSON] [CONTACT]",Блок бизнес-директора,orig
"Цифровая промышленная платформа [ОРГАНИЗАЦИЯ] [Местонахождение] OGRN [ID] / INN [ID] / KPP [ID] [DATE_TIME] No [DOCUMENT_NUMBER] To [DOCUMENT_NUMBER] from [PERSON] Honourable [PERSON]! Мы отправляем вам коммерческое предложение на оказание услуг по замене топливного бензина [ОРГАНИЗАЦИЯ] сумма [FINANCIAL_DATA] (три миллиона девятьсот двадцать пять тысяч шестьсот рублей без НДС, подлежат НДС в соответствии с законодательством Российской Федерации (20).",Блок бизнес-директора,backtranslate
[ОРГАНИСАЦИЯ] [ОРГАНИСАЦИЯ] НЕ [ДОКУМЕНТ_НУМЕР] от [DATE_TIME] К кому: [PERSON] О завершении порядка Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Порядок Пор,Блок бизнес-директора,backtranslate
"[Организация] Юридический адрес: [Местонахождение] Телефон: [CONTACT], факс: [CONTACT], телекс: [CONTACT] электронная почта: [CONTACT], www. [ORGANIZATION] OKPO [ID], OGRN [DOCUMENT_NUMBER], INN [ID], KPP [ID] [D_TIME] Нет [DOCUMENT_NUMBER] Нет от участия в проекте Уважаемые члены! В 2024 году [CONTACTORGATION] началась реализация проекта. [CONTACTORGATION] Целью проекта является реализация первой части проекта [CONTACTORGATION] [CONTACTORGATION] Проект.",Блок бизнес-директора,backtranslate
"Директор бизнес-трансформации [ОРГАНИЗАЦИЯ] [ПЕРСОН] Ограниченная компания [ОРГАНИЗАЦИЯ] [ЛОКАЦИЯ] [ИД] [КОНТАКТ] электронная почта: [КОНТАКТ] http://www.[ОРГАНИЗАЦИЯ].ru Спасибо Уважаемый [ПЕРСОН]! С этим письмом мы выражаем Вам и Вашей команде лично [ПЕРСОН] и [ПЕРСОН] благодарность за ваше активное участие, поддержку и профессионализм в реализации цифрового решения OPE [ДОКУМЕНТ_НУМЕР] Моя функция. Благодаря вашему вкладу, тираж успешно завершен и команда цифрового проекта смогла достичь поставленных целей. Мы высоко ценим наше сотрудничество и надеемся на плодотворное сотрудничество в будущем.",Блок бизнес-директора,backtranslate
"[ОРГАНИЗАЦИЯ] НЕФТ [ОРГАНИЗАЦИЯ] Общественное акционерное общество [ОРГАНИЗАЦИЯ] нефть (ПАО [ОРГАНИЗАЦИЯ] нефть) Для корреспонденции: [ЛОКАЦИЯ], [ДАТЬ_ТИМ] тел.: [КОНАКТ] факс: [КОНАКТ] электронная почта: [КОНАКТ], www. [ОРГАНИЗАЦИЯ]-нефт.РУ [ID], [ID], [ID], [ID] по номеру** _**ot** _ Об утверждении распределения ответственности матрица Уважаемый [ПЕРСОН] нефть! В ответ на ваше письмо к [ДАТЬ_ТИМ] No [ДОКУМЕНТ_NUMBER] мы сообщаем следующее:",Блок бизнес-директора,backtranslate
"[ЛОКЦИОН] Мы рады пригласить вас на [ЛОКЦИОН] OCPO [ID], [DOCUMENT_NUMBER], INN [ID], CPP [ID] Телефон: [CONTACT] E-mail: [CONTACT] [PERSON] No. от приглашения на демонстрационный день цифровых исследовательских проектов Уважаемый [PERSON] Мы рады пригласить вас на третью волну цифровых исследовательских проектов [DATE_TIME], мероприятие состоится на платформах [DATE_TIME] (MSK).",Блок бизнес-директора,backtranslate
"[ORGANIZATION] нефтепродуктов [LOCATION] Тел./факс: [CONTACT], e-mail: [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] На [DOCUMENT_NUMBER] от [DATE_TIME] О сроках запуска комплекса Уважаемый [PERSON]! В ответ на Ваше письмо [DOCUMENT_NUMBER] от [DATE_TIME] сообщаю, что при реализации проекта мы столкнулись с изменением ряда ключевых условий, которые привели к изменению плановых сроков ввода в эксплуатацию полного комплекса объектов инфраструктуры, необходимых для обеспечения полезного использования ПНГ (далее - Проект), включая следующие: * В соответствии с п. 2.4 Договора [DOCUMENT_NUMBER] от [DATE_TIME] (далее - Договор) Поставщик был обязан предоставить в субаренду Покупателю земельные участки, подходящие для размещения объектов, входящих в периметр Проекта. Однако, по результатам проведенного проектной организацией обследования, размещение объектов Проекта на предоставленных Поставщиком земельных участках оказалось невозможным из-за близости [ORGANIZATION] (наличие соответствующих нормативных ограничений). Соответственно, мы были вынуждены искать новые земельные участки и выполнять полный комплекс землеустроительных работ, необходимых для возможности размещения и строительства объектов Проекта. * Решение о реализации Проекта принималось с учетом планов [ORGANIZATION] (далее - [ORGANIZATION]) по бурению. При совместных обсуждениях с командой [ORGANIZATION] профиля поставок ПНГ мы исходили из объемов переработки ПНГ не менее 50 млн.м3/год (в соответствии с п. 3.4 Договора объем поставки ПНГ мог быть даже увеличен до 80 млн.м3/год). Уже в ходе реализации проекта мы столкнулись с изменением планов [ORGANIZATION] по бурению и уменьшению реальных объемов поставки ПНГ до объемов, не превышающих гарантированные объемы поставки газа в Договоре (от не более 31,2 млн.м3/год в 2026 до 17,3 млн.м3/год в 2029). При таких объемах поставки ПНГ реализовать Проект на базе спроектированного комплекса переработки газа и выбранного оборудования оказалось невозможным. Нам пришлось искать новые технические решения для возможности реализовать Проект хотя бы с минимальным уровнем рентабельности. К настоящему моменту мы нашли необходимые технические решения, выполняем перепроектирование и приступаем к закупке оборудования. Для того, чтобы максимально ускорить сроки начала приема газа, мы разбили Проект на три этапа, с запуском на первом этапе только необходимой для начала приема ПНГ инфраструктуры. Подтверждаем свою заинтересованность и готовность завершить Проект и предлагаем провести встречу для обсуждения актуализированной дорожной карты реализации Проекта и дополнительного соглашения, отражающего вышеизложенное. С уважением, [PERSON]",Блок деректора по газу,orig
"[ORGANIZATION] [LOCATION] [ID] [CONTACT] [PERSON] [DATE_TIME] Иск. No [DOCUMENT_NUMBER] Приглашение на заводские испытания гидроприводного компрессорного блока Уважаемый [PERSON]! В соответствии с достигнутой договоренностью о переносе даты, приглашаем Вас и заинтересованных специалистов [ORGANIZATION] посетить производственную площадку [ORGANIZATION] в [LOCATION] для проведения заводских испытаний гидроприводного компрессорного блока в период с [DATE_TIME] по [DATE_TIME]. Просим направить состав делегации и копии паспортов (страница с фотографией) для оформления пропусков. Директор [ORGANIZATION] [PERSON] [PERSON] [CONTACT]",Блок деректора по газу,orig
"[ORGANIZATION] Публичное акционерное общество [ORGANIZATION] ([ORGANIZATION]) Адрес для почтовой корреспонденции: [LOCATION] Юридический адрес: [LOCATION] тел.: [CONTACT], факс: [CONTACT], телекс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] согласовании [DOCUMENT_NUMBER] Уважаемый [PERSON]! В соответствии с обращением [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] Департамент [ORGANIZATION] ([PERSON]) рассмотрел проект технических условий на подключение газопровода от кустовой площадки газоконденсатных скважин No [ID] [ORGANIZATION] к [OBJECT] [ORGANIZATION] (далее - ТУ) и по результатам рассмотрения направляет согласованную редакцию ТУ для утверждения в [ORGANIZATION]. Приложение: проект ТУ на [FINANCIAL_DATA] Первый заместитель начальника Департамента [PERSON] [PERSON] ([CONTACT]) [ORGANIZATION], ООО [ID] No [DOCUMENT_NUMBER] Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]",Блок деректора по газу,orig
