label,train,train_paraphrase,train_backtranslate
Блок бизнес-директора,6,30,30
Блок деректора по газу,59,59,59
Блок директора по газовым проектам,24,30,30
Блок директора по мощностям,197,197,197
Блок директора по персоналу,14,30,30
Блок директора по портфелю,19,30,30
Блок директора по проектированию,35,35,35
Блок директора по строительству,135,135,135
Блок заместителя генерального директора по безопасности,101,101,101
Блок заместителя генерального директора по закупкам,54,54,54
Блок заместителя генерального директора по защите,20,30,30
Блок заместителя генерального директора по имуществу,13,30,30
Блок заместителя генерального директора по организационным вопросам,47,47,47
Блок заместителя генерального директора по строительству,1,30,30
"Блок исполнительного директора по реализации проекта ""Большое месторождение""",3,30,30
Блок операционного директора,26,30,30
Блок технического директора,202,202,202
Блок финансового директора,20,30,30
Генеральный директор,83,83,83
Имущественные вопросы,1,30,30
Подразделение по информационным технологиям,1,30,30
"Проект ""Восточный""",14,30,30
"Проект ""Нефтяные краюшки""",64,64,64
"Проект ""Новая нефть""",30,30,30
"Проект ""Обустройство площадных объектов НГКМ Поменбше""",4,30,30
"Проект ""Северная деревня""",29,30,30
"Проект ""Трубопроводный транспорт Главного НГКМ""",15,30,30
"Проект ""Южный""",9,30,30
Проект «Обустройство Интересного лицензионного участка»,5,30,30
Проект «Обустройство объектов Новейшей нейти»,2,30,30
Проект «Обустройство объектов Новой нефти»,14,30,30
Проект «Трубопроводный транспорт Ещё одного НГКМ»,1,30,1
Проект сервиса скважин,38,38,38
Управление землеустроительных работ,18,30,30
Управление коммуникаций,5,30,30
Управление по проектным работам,110,110,110
